chain_requested,name,brand,operator,street,housenumber,postcode,city,country,address_formatted,address_quality,latitude,longitude,osm_type,osm_id,source
MAX,Maxi ICA Stormarknad Högskolan,Maxi ICA Stormarknad,,Kristian IV:s väg,3,,,Sweden,Kristian IV:s väg 3 Sweden,usable,56.6638911,12.8761471,way,225285015,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Vetlanda,Maxi ICA Stormarknad,ICA,Nygatan,3,,Vetlanda,Sweden,Nygatan 3 Vetlanda Sweden,usable,57.4255886,15.0959604,way,249359508,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Falköping,Maxi ICA Stormarknad,,Lönnerbladsgatan,2,521 40,Falköping,Sweden,Lönnerbladsgatan 2 521 40 Falköping Sweden,strict,58.154256,13.5633885,way,249412482,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Älmhult,Maxi ICA Stormarknad,ICA,Silverdalsgatan,3,343 31,Älmhult,Sweden,Silverdalsgatan 3 343 31 Älmhult Sweden,strict,56.5571091,14.1460216,way,260678282,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Kungsbacka,Maxi ICA Stormarknad,ICA,,,,,Sweden,"57.5162793,12.0741735",coordinates_only,57.5162793,12.0741735,way,264727228,OpenStreetMap via Overpass API
MAX,ICA Maxi Nyköping,Maxi ICA Stormarknad,,Gustafsbergsstigen,6,611 67,Nyköping,Sweden,Gustafsbergsstigen 6 611 67 Nyköping Sweden,strict,58.7703043,17.0219285,way,298617966,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Västervik,Maxi ICA Stormarknad,,,,,,Sweden,"57.7674793,16.5967949",coordinates_only,57.7674793,16.5967949,way,312681000,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Eskilstuna,Maxi ICA Stormarknad,,Karl Hovbergsgatan,32,,Eskilstuna,Sweden,Karl Hovbergsgatan 32 Eskilstuna Sweden,usable,59.3881889,16.5344849,way,324004049,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Universitetet,Maxi ICA Stormarknad,,Sörbyängsvägen,24-30,702 18,Örebro,Sweden,Sörbyängsvägen 24-30 702 18 Örebro Sweden,strict,59.252092,15.2307716,way,394983115,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Ängelholm,Maxi ICA Stormarknad,ICA,Hugingatan,1,,Ängelholm,Sweden,Hugingatan 1 Ängelholm Sweden,usable,56.2520873,12.8909073,way,399052014,OpenStreetMap via Overpass API
MAX,ICA Maxi Stormarknad Gnista,Maxi ICA Stormarknad,,,,,,Sweden,"59.8435927,17.7136935",coordinates_only,59.8435927,17.7136935,way,492670143,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Löddeköpinge,Maxi ICA Stormarknad,,Marknadsvägen,5,,Löddeköpinge,Sweden,Marknadsvägen 5 Löddeköpinge Sweden,usable,55.7681108,12.990952,way,572528712,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Moraberg,Maxi ICA Stormarknad,,,,,,Sweden,"59.1995764,17.6693497",coordinates_only,59.1995764,17.6693497,way,595408589,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Kalmar,Maxi ICA Stormarknad,ICA,Verkstadsgatan,6,392 39,Kalmar,Sweden,Verkstadsgatan 6 392 39 Kalmar Sweden,strict,56.669827,16.3389041,way,853808151,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Olofström,ICA Maxi,,Ekhagsvägen,2,293 40,Olofström,Sweden,Ekhagsvägen 2 293 40 Olofström Sweden,strict,56.275052,14.5441129,way,870280963,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Katrineholm,Maxi ICA Stormarknad,,Starrvägen,17,,,Sweden,Starrvägen 17 Sweden,usable,59.0028662,16.2252614,way,889389690,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Karlskrona,Maxi ICA Stormarknad,,Verkövägen,5,37162,Lyckeby,Sweden,Verkövägen 5 37162 Lyckeby Sweden,strict,56.1971836,15.6406881,way,907037346,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Bålsta,Maxi ICA Stormarknad,ICA,Lillsjörännan,9,74650,Bålsta,Sweden,Lillsjörännan 9 74650 Bålsta Sweden,strict,59.5589629,17.5498608,way,925884593,OpenStreetMap via Overpass API
MAX,Ica Maxi,Maxi ICA Stormarknad,ICA,Linggatan,25,81132,Sandviken,Sweden,Linggatan 25 81132 Sandviken Sweden,strict,60.6240314,16.7729052,way,970645822,OpenStreetMap via Overpass API
MAX,Ica Maxi,Maxi ICA Stormarknad,,,,,,Sweden,"61.3391276,16.3968978",coordinates_only,61.3391276,16.3968978,way,1055184037,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Österåker,Maxi ICA Stormarknad,,,,,,Sweden,"59.4891672,18.2704558",coordinates_only,59.4891672,18.2704558,way,1113297100,OpenStreetMap via Overpass API
MAX,ICA Maxi Flygstaden,Maxi ICA Stormarknad,,,,,,Sweden,"56.6795228,12.8062312",coordinates_only,56.6795228,12.8062312,way,1335980836,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Skövde,Maxi ICA Stormarknad,,,,,,Sweden,"58.4048055,13.8556908",coordinates_only,58.4048055,13.8556908,way,1453527487,OpenStreetMap via Overpass API
MAX,MaxiMat,,,,,,,Sweden,"59.0657776,11.2045415",coordinates_only,59.0657776,11.2045415,node,430352132,OpenStreetMap via Overpass API
MAX,ICA Maxi Söderhamn,ICA Kvantum,,,,,,Sweden,"61.2957555,17.0209185",coordinates_only,61.2957555,17.0209185,node,1372342896,OpenStreetMap via Overpass API
MAX,Mat Max,,,,,,,Sweden,"56.668761,12.8732289",coordinates_only,56.668761,12.8732289,node,3076493500,OpenStreetMap via Overpass API
MAX,Maximat,,,,,,,Sweden,"59.8812297,12.2883921",coordinates_only,59.8812297,12.2883921,node,4661168824,OpenStreetMap via Overpass API
MAX,Maximat,,,,,,,Sweden,"59.0857055,11.2624508",coordinates_only,59.0857055,11.2624508,node,5563898778,OpenStreetMap via Overpass API
MAX,ICA Maxi Förbutik,ICA,ICA,,,,,Sweden,"57.7952399,12.0501482",coordinates_only,57.7952399,12.0501482,node,6105411611,OpenStreetMap via Overpass API
MAX,Byggmax,,,,,,,Sweden,"59.3802951,13.5255905",coordinates_only,59.3802951,13.5255905,node,9655578317,OpenStreetMap via Overpass API
MAX,Maxims Livs,,,Tullslätten,25,392 53,Kalmar,Sweden,Tullslätten 25 392 53 Kalmar Sweden,strict,56.6638158,16.3548851,node,11873584450,OpenStreetMap via Overpass API
